commissioner_name,confidence,count
Andrius Kubilius,high,18
Andrius Kubilius,medium,13
Apostolos Tzitzikostas,high,17
Apostolos Tzitzikostas,medium,12
Christophe Hansen,high,10
Christophe Hansen,medium,11
Costas Kadis,high,15
Costas Kadis,medium,9
Dan Jørgensen,high,23
Dan Jørgensen,medium,15
Dubravka Šuica,high,11
Dubravka Šuica,medium,9
Ekaterina Zaharieva,high,15
Ekaterina Zaharieva,medium,9
Glenn Micallef,high,12
Glenn Micallef,medium,11
Hadja Lahbib,high,25
Hadja Lahbib,medium,12
Henna Virkkunen,high,19
Henna Virkkunen,medium,13
Jessika Roswall,high,12
Jessika Roswall,medium,10
Jozef Síkela,high,15
Jozef Síkela,medium,11
Kaja Kallas,high,16
Kaja Kallas,medium,10
Magnus Brunner,high,26
Magnus Brunner,medium,12
Maria Luís Albuquerque,high,15
Maria Luís Albuquerque,medium,9
Maroš Šefčovič,high,27
Maroš Šefčovič,medium,13
Marta Kos,high,11
Marta Kos,medium,6
Michael McGrath,high,24
Michael McGrath,medium,13
Olivér Várhelyi,high,14
Olivér Várhelyi,medium,8
Piotr Serafin,high,17
Piotr Serafin,medium,12
Raffaele Fitto,high,11
Raffaele Fitto,medium,10
Roxana Mînzatu,high,19
Roxana Mînzatu,medium,12
Stéphane Séjourné,high,20
Stéphane Séjourné,medium,12
Teresa Ribera,high,12
Teresa Ribera,medium,10
Valdis Dombrovskis,high,18
Valdis Dombrovskis,medium,10
Wopke Hoekstra,high,18
Wopke Hoekstra,medium,9
