wp_item_id,title,interinstitutional_ref,com_reference,note
WP001,Competitiveness Compass,,,
WP002,Single Market Strategy,,,
WP003,First Omnibus package on sustainability,,,
WP004,Second Omnibus package on investment simplification,,,
WP005,"Third Omnibus package, including on small mid-caps and removal of paper requirements",,,
WP006,Revision of the Sustainable Finance Disclosure Regulation,,,
WP007,Digital package,,,
WP008,European Business Wallet,,,
WP009,Clean Industrial Deal,,,
WP010,Action plan on affordable energy,,,
WP011,Industrial Decarbonisation Accelerator Act,,,
WP012,EU Start-up and Scale-up Strategy,,,
WP013,Communication on a Savings and Investments Union,,,
WP014,Review of the Securitisation Framework,,,
WP015,Digital Networks Act,,,
WP016,AI Continent Action Plan,,,
WP017,Quantum Strategy of EU,,,
WP018,EU Space Act,,,
WP019,Bioeconomy Strategy,,,
WP020,Targeted revision of the REACH Regulation,,,
WP021,Roadmap towards ending Russian energy imports,,,
WP022,Sustainable Transport Investment Plan,,,
WP023,White Paper on the Future of European Defence,,,
WP024,EU Preparedness Union Strategy,,,
WP025,Critical Medicines Act,,,
WP026,Strategy to support medical countermeasures against public health threats,,,
WP027,EU Stockpiling Strategy,,,
WP028,New European Internal Security Strategy,,,
WP029,New rules on drug precursors,,,
WP030,Firearms Trafficking Directive,,,
WP031,Action plan on the cybersecurity of hospitals and healthcare providers,,,
WP032,New common approach on returns,,,
WP033,European Migration and Asylum Strategy,,,
WP034,A new action plan to implement the European Pillar of Social Rights,,,
WP035,Quality jobs roadmap,,,
WP036,Union of Skills,,,
WP037,"2030 Consumer Agenda, including an action plan for consumers in the Single Market",,,
WP038,European Climate Law amendment,,,
WP039,Vision for Agriculture and Food,,,
WP040,Common Agricultural Policy simplification package,,,
WP041,Ocean Pact,,,
WP042,European Water Resilience Strategy,,,
WP043,European Democracy Shield,,,
WP044,"EU Strategy to support, protect and empower the civil society",,,
WP045,Roadmap for Women’s Rights,,,
WP046,New equality strategies for LGBTIQ,,,
WP047,Anti-racism,,,
WP048,Pact for the Mediterranean,,,
WP049,EU strategic approach to the Black Sea/ Black Sea Strategy,,,
WP050,Joint Communication on a new Strategic EU-India Agenda,,,
WP051,Post-2027 Multiannual Financial Framework proposals,,,
WP052,An EU fit for enlargement: policy reviews and reforms,,,
