status_id,procedure_ref_id,agenda_item_id,as_of_date,status,ep_stage_code,latest_event_type,latest_event_date,proposed_date,delivered,on_time,withdrawn
PR0001_2026-06-22,PR0001,AI0090,2026-06-22,ep_1st_read,RDG1,PLENARY_AMEND,2012-09-11,2012-01-17,False,0,False
PR0002_2026-06-22,PR0002,AI0091,2026-06-22,ep_1st_read,RDG1,PLENARY_ACTIVITY,2019-10-09,2011-12-13,False,0,False
PR0003_2026-06-22,PR0003,AI0092,2026-06-22,ep_1st_read,RDG1,PLENARY_VOTE_RESULTS,2013-04-17,2013-04-17,False,0,False
PR0004_2026-06-22,PR0004,AI0093,2026-06-22,not_found,,,,,False,0,False
PR0005_2026-06-22,PR0005,AI0094,2026-06-22,ep_1st_read,RDG1,PLENARY_AMEND,2018-07-04,2017-07-03,False,0,False
PR0006_2026-06-22,PR0006,AI0095,2026-06-22,ep_1st_read,RDG1,PLENARY_ACTIVITY,2019-10-09,2017-11-29,False,0,False
PR0007_2026-06-22,PR0007,AI0096,2026-06-22,ep_1st_read,RDG1,,,,False,0,False
PR0008_2026-06-22,PR0008,AI0097,2026-06-22,ep_1st_read,RDG1,PLENARY_ACTIVITY,2019-10-24,2019-10-24,False,0,False
PR0009_2026-06-22,PR0009,AI0098,2026-06-22,ep_1st_read,RDG1,PLENARY_VOTE_RESULTS,2019-02-12,2018-09-10,False,0,False
PR0010_2026-06-22,PR0010,AI0099,2026-06-22,ep_1st_read,RDG1,PLENARY_ADOPT_POSITION,2019-04-16,2018-07-05,False,0,False
PR0011_2026-06-22,PR0011,AI0100,2026-06-22,ep_1st_read,RDG1,REFERRAL,2018-06-11,2018-06-11,False,0,False
PR0012_2026-06-22,PR0012,AI0101,2026-06-22,ep_1st_read,RDG1,PLENARY_REFER_COMMITTEE_INTERINSTITUTIONAL_NEGOTIATIONS,2020-09-16,2019-02-11,False,0,False
PR0013_2026-06-22,PR0013,AI0102,2026-06-22,ep_1st_read,RDG1,,,,False,0,False
PR0014_2026-06-22,PR0014,AI0103,2026-06-22,ep_1st_read,RDG1,PLENARY_ACTIVITY,2021-09-13,2020-10-22,False,0,False
PR0015_2026-06-22,PR0015,AI0104,2026-06-22,ep_1st_read,RDG1,REFERRAL,2021-12-13,2021-12-13,False,0,False
PR0016_2026-06-22,PR0016,AI0105,2026-06-22,ep_1st_read,RDG1,PLENARY_VOTE,2022-12-14,2022-06-06,False,0,False
PR0017_2026-06-22,PR0017,AI0106,2026-06-22,ep_1st_read,RDG1,PLENARY_VOTE,2024-02-28,2023-06-15,False,0,False
PR0018_2026-06-22,PR0018,AI0107,2026-06-22,ep_1st_read,RDG1,COMMITTEE_TABLING_REPORT,2020-02-21,2018-10-22,False,0,False
PR0019_2026-06-22,PR0019,AI0108,2026-06-22,ep_1st_read,RDG1,COMMITTEE_TABLING_REPORT,2023-09-11,2022-02-14,False,0,False
PR0020_2026-06-22,PR0020,AI0109,2026-06-22,ep_1st_read,RDG1,,,,False,0,False
PR0021_2026-06-22,PR0021,AI0110,2026-06-22,not_found,,,,,False,0,False
PR0022_2026-06-22,PR0022,AI0111,2026-06-22,ep_1st_read,RDG1,PLENARY_ADOPT_POSITION,2014-04-16,2012-09-11,False,0,False
PR0023_2026-06-22,PR0023,AI0112,2026-06-22,ep_1st_read,RDG1,PLENARY_VOTE_RESULTS,2015-10-28,2015-04-30,False,0,False
PR0024_2026-06-22,PR0024,AI0113,2026-06-22,ep_1st_read,RDG1,PLENARY_VOTE,2023-07-11,2022-11-09,False,0,False
PR0025_2026-06-22,PR0025,AI0114,2026-06-22,ep_1st_read,RDG1,PLENARY_VOTE,2024-01-16,2024-01-15,False,0,False
PR0026_2026-06-22,PR0026,AI0115,2026-06-22,ep_1st_read,RDG1,PLENARY_AMEND,2009-04-02,2008-09-02,False,0,False
PR0027_2026-06-22,PR0027,AI0116,2026-06-22,ep_1st_read,RDG1,REFERRAL,2011-04-05,2011-04-05,False,0,False
PR0028_2026-06-22,PR0028,AI0116,2026-06-22,ep_1st_read,RDG1,PLENARY_AMEND_PROPOSAL,2011-12-15,2008-05-22,False,0,False
PR0029_2026-06-22,PR0029,AI0117,2026-06-22,ep_1st_read,RDG1,PLENARY_ACTIVITY,2020-01-13,2017-08-30,False,0,False
PR0030_2026-06-22,PR0030,AI0118,2026-06-22,ep_1st_read,RDG1,PLENARY_ENDORSE_COMMITTEE_INTERINSTITUTIONAL_NEGOTIATIONS,2017-10-25,2017-02-16,False,0,False
PR0031_2026-06-22,PR0031,AI0119,2026-06-22,ep_1st_read,RDG1,PLENARY_VOTE,2020-12-17,2017-03-01,False,0,False
PR0032_2026-06-22,PR0032,AI0120,2026-06-22,ep_1st_read,RDG1,PLENARY_ACTIVITY,2021-11-22,2018-04-16,False,0,False
PR0033_2026-06-22,PR0033,AI0121,2026-06-22,ep_1st_read,RDG1,COMMITTEE_ADOPTING_OPINION,2025-05-20,2022-10-06,False,0,False
PR0034_2026-06-22,PR0034,AI0122,2026-06-22,ep_1st_read,RDG1,PLENARY_DECISION,2019-03-13,2018-03-15,False,0,False
PR0035_2026-06-22,PR0035,AI0123,2026-06-22,not_found,,,,,False,0,False
PR0036_2026-06-22,PR0036,AI0124,2026-06-22,ep_1st_read,RDG1,PLENARY_ENDORSE_COMMITTEE_INTERINSTITUTIONAL_NEGOTIATIONS,2022-09-14,2022-05-02,False,0,False
PR0037_2026-06-22,PR0037,AI0125,2026-06-22,ep_1st_read,RDG1,,,,False,0,False
PR0038_2026-06-22,PR0038,AI0126,2026-06-22,ep_1st_read,RDG1,,,,False,0,False
